index,release_name,tag_name,expected_version,expected_build,expected_git_ref,published_at,created_at,prerelease,draft,html_url,tarball_url,zipball_url,local_archive_path,artifact_id,role,notes
71,7.52,7.52.0.692,7.52,7.52.0.692,7.52.0.692,2025-04-02T17:47:27Z,2025-03-25T21:34:59Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.52.0.692,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.52.0.692,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.52.0.692,artifacts/local/Signal-7.52.0.692.xcarchive,signal_local_7_52_0_692_release,local_release_tag,
72,7.51,7.51.0.681,7.51,7.51.0.681,7.51.0.681,2025-03-19T21:54:02Z,2025-03-18T23:53:19Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.51.0.681,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.51.0.681,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.51.0.681,artifacts/local/Signal-7.51.0.681.xcarchive,signal_local_7_51_0_681_release,local_release_tag,
73,7.50,7.50.0.668,7.50,7.50.0.668,7.50.0.668,2025-03-12T20:58:06Z,2025-03-12T16:22:38Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.50.0.668,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.50.0.668,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.50.0.668,artifacts/local/Signal-7.50.0.668.xcarchive,signal_local_7_50_0_668_release,local_release_tag,
74,7.49,7.49.0.654,7.49,7.49.0.654,7.49.0.654,2025-03-11T19:39:48Z,2025-03-05T20:54:39Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.49.0.654,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.49.0.654,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.49.0.654,artifacts/local/Signal-7.49.0.654.xcarchive,signal_local_7_49_0_654_release,local_release_tag,
75,7.48.1,7.48.1.645,7.48.1,7.48.1.645,7.48.1.645,2025-02-27T23:55:44Z,2025-02-27T18:21:07Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.48.1.645,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.48.1.645,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.48.1.645,artifacts/local/Signal-7.48.1.645.xcarchive,signal_local_7_48_1_645_release,local_release_tag,
76,7.48,7.48.0.637,7.48,7.48.0.637,7.48.0.637,2025-02-27T20:13:05Z,2025-02-25T18:51:28Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.48.0.637,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.48.0.637,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.48.0.637,artifacts/local/Signal-7.48.0.637.xcarchive,signal_local_7_48_0_637_release,local_release_tag,
77,7.47,7.47.0.625,7.47,7.47.0.625,7.47.0.625,2025-02-25T20:19:42Z,2025-02-18T19:49:44Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.47.0.625,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.47.0.625,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.47.0.625,artifacts/local/Signal-7.47.0.625.xcarchive,signal_local_7_47_0_625_release,local_release_tag,
78,7.46,7.46.0.615,7.46,7.46.0.615,7.46.0.615,2025-02-12T23:29:50Z,2025-02-12T00:30:51Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.46.0.615,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.46.0.615,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.46.0.615,artifacts/local/Signal-7.46.0.615.xcarchive,signal_local_7_46_0_615_release,local_release_tag,
79,7.45.1,7.45.1.606,7.45.1,7.45.1.606,7.45.1.606,2025-02-06T17:41:35Z,2025-02-06T01:47:43Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.45.1.606,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.45.1.606,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.45.1.606,artifacts/local/Signal-7.45.1.606.xcarchive,signal_local_7_45_1_606_release,local_release_tag,
80,7.45,7.45.0.603,7.45,7.45.0.603,7.45.0.603,2025-02-06T17:41:18Z,2025-02-04T21:25:46Z,False,False,https://github.com/signalapp/Signal-iOS/releases/tag/7.45.0.603,https://api.github.com/repos/signalapp/Signal-iOS/tarball/7.45.0.603,https://api.github.com/repos/signalapp/Signal-iOS/zipball/7.45.0.603,artifacts/local/Signal-7.45.0.603.xcarchive,signal_local_7_45_0_603_release,local_release_tag,
